cantonese_140916_361014-04	我地唐人好兴话烧红个镬呀又跟住落油呀落姜
cantonese_140925_363090-03	哩系中国历嚟最成功嘅网球选手亦都系亚洲首位大满
cantonese_140925_363090-04	满冠单打得主或者应该噉讲啦系中国同亚洲至今唯一嘅大
cantonese_140925_363090-05	大满冠得主呀嗱媒体哩铺天盖地噉报导李娜个退
cantonese_140925_363090-06	退役除左形容啦佢系中国网球坛当之无愧嘅领军者仲话
cantonese_140925_363090-07	哩佢曾经为世界排名第二系亚洲至今呀喺世界网坛
cantonese_140925_363090-08	嘅最高名次之外又赞扬佢为中国哩争得哩
cantonese_140925_363090-09	好高嘅荣誉唤起国人对於网球嘅热情呀并且形容哩佢系中国
cantonese_140925_363090-10	体坛罕有噉富於个性嘅运动员噤佢嘅成就哩几乎
cantonese_140925_363090-11	成左哩内地体育埋葬举国体制嘅墓碑添
cantonese_140925_363090-12	媒体对李娜正式宣告退役嘅报导哩最多人用嘅标题除左
cantonese_140925_363090-13	左网坛一姐之外呀仲包括中国体坛传奇人物喇
cantonese_140925_363090-14	喇究竟有几传奇哩嗱李娜一次又一次嘅叛逆言论哩次次
cantonese_140925_363090-15	都相当惹火㗎至今大家印象相信都好深刻㗎喇嗱好
cantonese_140925_363090-16	似哩佢曾经讲过呀我点解要背负一个国家哦者系一个网球运
cantonese_140925_363090-17	运动员一个打网球㗎我尽力哩尽全力喺场上比赛
cantonese_140925_363090-18	呢个哩就系我工作嗱被形容为中国体坛特立独行嘅嘢
cantonese_140925_363090-19	牌子呀噉佢仲表明哩打波系为自己唔系哩为左国家
cantonese_140925_363090-20	家㗎亦都拒绝哩讨好啲领导啊同埋观众呀媒体仲
cantonese_140925_363090-21	从提哩人民日报曾经发表文章啊警告李娜任性哩要
cantonese_140925_363090-22	有底线添嗱李娜又曾经炮轰国家队体制当时被
cantonese_140925_363090-23	网协封杀喇话李娜绝不可立出战奥运哪嗱李娜
cantonese_140925_363090-24	最终哪就选择单飞㗎用自己㗎努力同埋实力哩喺全球网球界
cantonese_140925_363090-25	哩闯天下噉成就哩都有目共睹㗎嗱虽然有网民话自从
cantonese_140925_363090-26	从李娜表示佢只系代表自己唔代表国家之后哩佢嘅
cantonese_140925_363090-27	输赢就已经同中国人冇半点关系呀不过唔少网民都认
cantonese_140925_363090-28	认为正如李娜哩向佢所代言嘅体育用品品牌嘅致敬用
cantonese_140925_363090-29	用语敢出头嘅鸟先至配哩飞得更加远噉话如
cantonese_140925_363090-30	果哩当年哩决定留喺中国体制之内呀李娜话者哩能
cantonese_140926_363178-01	七号啊获联合国教科文组织列入世界地质公园名录㗎
cantonese_140926_363178-02	㗎而呢几日哩刚好就系三周年生日喇噉但系有保育人士警
cantonese_140926_363178-03	告呀近年香港地质公园嘅访客哩持续下跌喇政府若果再
cantonese_140926_363178-04	再唔正视问题有机会影响到嚟紧嘅国际评核甚
cantonese_140926_363178-05	至哩令到香港地质公园嘅世界级地位不保呀专家话呀唔
cantonese_140926_363178-06	唔等到哩俾黄牌警告先至作出补救因为可叻会太迟㗎
cantonese_140926_363178-07	嗱好似中国内地哩就有三个世界级地质公园包括张家介
cantonese_140926_363178-08	啦江西鲁山黑龙江五大连池噉哩几年前呀都试过
cantonese_140926_363178-09	因为旅游推广工作欠佳而遭到警告呀之后要由国家旅
cantonese_140926_363178-10	游部门介入重组管理地质公园架构情况先至改
cantonese_140926_363178-11	善噉佢认为呀前车可鉴港府唔应该掉以轻心㗎
cantonese_140926_363178-12	香港地貌岩石保育协会话联合国教科文组织哩喺二零
cantonese_140926_363178-13	零四年倡议建立世界地质公园噉今年哩亦都刚好系踏入十
cantonese_140926_363178-14	周年哪以呢个月哩佢地就系加拿大举行会议讨论到哩
cantonese_140926_363178-15	将世界级地质公园呀正式列为联合国辖下项目噉据了
cantonese_140926_363178-16	解部分评审嘅标准哩将会收紧㗎噉而出年呀香港地质公
cantonese_140926_363178-17	园将会系首次哩进行四年一度嘅中期评估海
cantonese_140926_363178-18	海外专家就会嚟到香港考察噉保育协会认为呀香港应该趁机会
cantonese_140926_363178-19	改善缺点以便哩更加有把握通过呢一次嘅中期评核㗎
cantonese_140926_363178-20	嗱中期评审嘅准则哩原来呀系包括保育喇宣传教育
cantonese_140926_363178-21	同埋旅游三方面㗎保育协会认为呀负责管理地质公园
cantonese_140926_363178-22	嘅渔会处喺保育同埋宣传教育方面哩表现都理想嘅
cantonese_140926_363178-23	噉目前哩内地嘅管理世界级国家公园部门哩都
cantonese_140926_363178-24	会派员嚟香港取经添但系旅游方面香港似乎就有
cantonese_140926_363178-25	改善空间哪近年到访地质公园嘅人次哩出现持续跌势
cantonese_140926_363178-26	势噉睇番呢嗱香港地质公园哩二零零九年成立二零一
cantonese_140926_363178-27	一年哩就获联合国教科文组织列入世界地质公园名录
cantonese_140926_363178-28	获得呢个世界级嘅名衔吖噉到出年刚好就四年要接受
cantonese_140926_363178-29	受中期评核由专家哩评分续牌但系资料显示的确
cantonese_140926_363178-30	获近年地质公园游客人数系有持续下跌嘅迹象㗎
cantonese_140926_363198-01	於政治哩遮近呢个几月哩可以讲风起云涌风云色变
cantonese_140926_363198-02	达尔文嘅政坛遮或者我讲少少历史大家听番先哪噉今年四月
cantonese_140926_363198-03	有三位原住民嘅议员哩就包括啦
cantonese_140926_363198-04	啦同埋哩据因为不满执政嘅乡村
cantonese_140926_363198-05	自由党哩遮啦於是哩就集体退党㗎噉佢之后哩就
cantonese_140926_363198-06	就加入左新成立嘅哩当时哩就遮引起左唔少嘅骚动啦
cantonese_140926_363198-07	遮好多人都怀疑究竟能唔能够团结啊同埋首席部长
cantonese_140926_363198-08	嘅领导能力会唔会有问题啊噉样嘅噉正当呢件事开始淡化嘅时候
cantonese_140926_363198-09	哩系上个月底哩副首席部长兼财政部长哩哩
cantonese_140926_363198-10	就被指责发表唔适合嘅言论哩而最终哩要被迫辞职㗎
cantonese_140926_363198-11	噉据报纸报导哩就喺一个佢地自己内部嘅会议之中哩
cantonese_140926_363198-12	哩就遮取笑佢其中一个雇员嘅性取向啦噉噤啱呢个
cantonese_140926_363198-13	个雇员哩系另一位议员个仔嚟㗎噉於是哩就引起大家嘅
cantonese_140926_363198-14	一啲争拗噉本来呢件事哩就系内部嘅事件啦但
cantonese_140926_363198-15	知点解哩就会被公开左出嚟噉遮反对党工党哩就乘机啦噉就指责
cantonese_140926_363198-16	嘅言论哩系唔啱嘅唔适合做部长嘅噉而最大问题哩亦都系有
cantonese_140926_363198-17	多职嘅议员哩都觉得言论唔太适当都指责啦
cantonese_140926_363198-18	噉就不满噉喺强大压力之下都冇办法都要辞去
cantonese_140926_363198-19	财政部长兼副首席部长呢个职位嘅不过哩事后哩佢又
cantonese_140926_363198-20	喺一个电话访问之中哩就话佢好快会番去从掌佢嘅副部长职位并且
cantonese_140926_363198-21	指责嘅议员哩唔得团结喺背后哩仲用刀插佢噉遮令佢非
cantonese_140926_363198-22	非常失望㗎噉如果佢唔能够再选做副部长哩佢会考虑退出
cantonese_140926_363198-23	喇呢一个恐吓哩就遮等於一个好大嘅重磅炸弹噉喇因为哩
cantonese_140926_363198-24	自从嗰三位原住民议员退党之后哩哩只系以仅仅
cantonese_140926_363198-25	大多数哩就系执政㗎噉如果真系要退党嘅话哩哩就会变成
cantonese_140926_363198-26	一个少数党噉狸执政哩就会有危险㗎喇噉首席部长哩为左令到事
cantonese_140926_363198-27	件平淡噉落狸就叫放假休息一段时间噉睇其
cantonese_140926_363198-28	后佢地内部嘅党籍会议之上哩最终呀都未被选
cantonese_140926_363198-29	上副首席部长呢个职位㗎噉正当大家遮拭目以待哩睇下
cantonese_140926_363198-30	有咩反应嘅时候哩突然间哩就召开左一个记者会就宣佈呢个
cantonese_140926_363222-01	过哩通常一般狸讲哩都会系坐响角咯头啦面目模糊嗰啲相
cantonese_140926_363222-03	就算系上左报咖喇不过哩上左报哩就唔一定代表哩就出名嘅喎
cantonese_140926_363222-04	噉而出名哩亦都唔代表一件好事呀下嗱我谂你一定系讲紧哩遮
cantonese_140926_363222-05	媒体集团哩佢地一个点错相放错相嘅事件呀噉大家应
cantonese_140926_363222-06	该仲记得哩我地之前有同大家哩有跟踪报导住哩十八岁嘅青少
cantonese_140926_363222-07	年啊啊海德尔哩刺伤左两名警员最终被击毙嘅事件
cantonese_140926_363222-08	呀噉除左我地哩其实集团哩当演都有关注呢件事件啦下
cantonese_140926_363222-09	噉佢地哩仲放左一张哩被佢地认为系海德尔嘅相片噉响佢地
cantonese_140926_363222-10	其下嘅报纸哩同埋网站呀噉啊例如系哩遮时代报纸啦或者系
cantonese_140926_363222-11	系啊坎培拉时代报遮啦同埋哩雪梨晨锋报
cantonese_140926_363222-13	诗入面嗰个报导哩亦都有提过呢一份报纸哩系放响哩相片上
cantonese_140926_363222-14	嘅注明呀噉用左哩就系例如哩系一啲年青嘅恐怖分子呀
cantonese_140926_363222-15	年青嘅圣战分子呀或者哩系将恐怖主义带入社区嘅青
cantonese_140926_363222-16	年人呢一啲嘅字眼标题哩系作为报导㗎噉亦都写到佢哩系将
cantonese_140926_363222-17	将系有呢一个学生哩变成一个狂热分子噉仲话哩佢系为警察哩系
cantonese_140926_363222-19	网站噉写其实都无可厚非㗎噉最大问题就系哩相
cantonese_140926_363222-20	中人哩并唔系海德尔本人喎噉反而哩系另外一名哩叫做
cantonese_140926_363222-21	阿布巴咔阿拉姆嘅青年人呀噉广东话就成日话人有
cantonese_140926_363222-23	更加令到阿拉姆哩真系担惊受怕噉佢响较早前哩接受三
cantonese_140926_363222-24	嘅电台访问嘅时候哩就表示担心自己未来甚至哩系惊
cantonese_140926_363222-27	不乐因为佢同佢屋企人哩一向都有好嘅名声㗎噉冇
cantonese_140926_363222-28	冇惹过啲咩嘅麻烦噉佢睇报导时嘅情绪激动因为情况哩系会影响
cantonese_140926_363222-30	家佢只能够璃喺屋企嘅房里便唔嗱不过哩其实阿拉姆哩最担心除左呢
cantonese_140926_363228-02	揸车嘅旅游者啦年轻人当中我相信有好多哩都好中意自驾
cantonese_140926_363228-03	游呀噉我相信哩就喺呢一方面哩都遮比起码比我自己狸讲哩
cantonese_140926_363228-05	者布理斯本啦凯恩斯哎一路上去然之后再落返嚟去墨
cantonese_140926_363228-09	珀噉样就周围去但系敲尾我计番个哩住旅馆嘅使
cantonese_140926_363228-10	费啦其实加埋起身其实同自己揸车去差唔多嘅遮因为我就带
cantonese_140926_363228-11	带左有一个营噉样我就可以随便去啊国家公园噉样就扎营瞓啦噉
cantonese_140926_363228-16	振我架车系一九八九年嘅所以架车都好大年纪㗎喇仲大过我添
cantonese_140926_363228-17	所以哩我就都几担心架车会出事嘅但系好彩一路都净系出左小
cantonese_140926_363228-19	天气嘅原因啦我架车一箱油本身可以行六百公里嘅嗰次行到四
cantonese_140926_363228-21	呀果真市因为我有带架单车嘅我谂住曳单车去买油以
cantonese_140926_363228-26	下有冇人可以帮到手啦好好彩地有一对原住民夫妇哩佢地就停低左噉
cantonese_140926_363228-27	样就问我咩事后就车我去下一个站啦大概十公里嘅路程俾我去买油
cantonese_140926_363228-28	啦我买完油之后本身谂住搭的士嘅但系因为地方偏僻呀连的士都冇噉好
cantonese_140926_363228-29	彩我见到有一位警察噉我就问警察可唔可以车我番去佢话喎噉噉我就
cantonese_140926_363228-30	坐得住架警车噉样番番去我架车等我番番去我架车哩同警察叔叔讲拜拜啦然后
cantonese_140926_363298-01	人哩上呢个公民课堂㗎喇嗱系今日哩学民思潮发
cantonese_140926_363298-02	起嘅中学生罢课噉将会喺政府总部外嘅添美道行人路
cantonese_140926_363298-03	举行公民讲堂同埋集会噉并且已经获得警方哩批出
cantonese_140926_363298-04	不反对通知书时间由朝早九点至到晚上十点㗎
cantonese_140926_363298-05	嗱学民思潮估计呀参与集会人岁哩最高峰期就系放学
cantonese_140926_363298-06	之后嘅时间噉人数可能会达到三位数㗎噉佢地强调呀将
cantonese_140926_363298-07	将会系和平同埋合法噉样集会会以中学生安全为重
cantonese_140926_363298-08	重保证唔会发起任何堵塞道路嘅行动㗎嗱对於有部
cantonese_140926_363298-09	份学校哩开放学校之内嘅课室俾学生留校罢
cantonese_140926_363298-10	罢课学民就话欣赏学校个做法噉但系呀强调
cantonese_140926_363298-11	中学生系校外罢课哩先至会有真正嘅作用学民
cantonese_140926_363298-12	话相对哩留系校内罢课学生去到学校之外罢课哩
cantonese_140926_363298-13	更加能够向中央同埋政府施压噉呼吁中学生呀今
cantonese_140926_363298-14	今日哩去到政总外便罢课㗎嗱睇番哪唔少中学哩都有
cantonese_140926_363298-15	学生自组政改关注组噉呢个星期初开始哩已经
cantonese_140926_363298-16	向同学派发传单哪同埋丝带以响应学联发起嘅罢课周㗎
cantonese_140926_363298-17	有中学驾政治关注组哩更加发起公投罢课嗱话
cantonese_140926_363298-18	说哩位於新界葵涌区嘅间中学呀学生自组嘅政改关注
cantonese_140926_363298-19	组就系咪推动罢课行动哩星期二就喺校内举行左一
cantonese_140926_363298-20	次公投㗎全校由中一至到中六哩一共有大约
cantonese_140926_363298-21	两成嘅学生遮大约二百个学生哩投左票㗎当中支持罢
cantonese_140926_363298-22	课嘅哩有七成几噉反对嘅哩有一成一关注组嘅同学
cantonese_140926_363298-23	话投票率只系得两成哩属於意料之内㗎因为唔同年级
cantonese_140926_363298-24	对於时事嘅认知能力系唔同㗎若果唔计低年级同学只系计中
cantonese_140926_363298-25	五中六年级嘅同学哩投票率应该会去到四成噤多噉而
cantonese_140926_363298-26	反映投票结果啊关注组今日哩系会发动罢课参加嘅同学
cantonese_140926_363298-27	可以拣哩留喺学校内罢课或者参与学联哩或者学民
cantonese_140926_363298-28	思潮哩喺中环金钟嘅集会不过关注组本身哩
cantonese_140926_363298-29	则唔会组织学生哩去学校之外嘅地方集会喇关注组
cantonese_140926_363298-30	话系基於安全考虑所以哩倾向留校罢课㗎而校方
cantonese_140926_363306-05	霞噉哩就遮系於别不同啦用啲红米做嘅噉我地需要用咩
cantonese_140926_363306-06	材料喇嗱两个人嘅份量噉哩我地买啲哩急冻嘅牛腊条呀噉
cantonese_140926_363306-07	遮我地嗳狸呀韩式嗰只哩未嗰只牛腊条掹
cantonese_140926_363306-08	开佢哩如果你做牛腩嘅时间哩亦都呢个牛腊条系遮带骨驾已经去
cantonese_140926_363306-11	噉要几多呀噉我哩就系要急冻牛腊条哩只系爱一条赌嘅遮大概
cantonese_140926_363306-12	概哩如果我两个人嘅份量哩二百克嘅话哩亦都唔需要爱晒㗎可能爱半
cantonese_140926_363306-16	落去哩好似未打完第一浸噉样嘅哩红色嘅下噉哩就爱六十克
cantonese_140926_363306-17	白色嘅米平时食嗰啲哩就一百二十克噉红嘅洋葱哩爱半个噉啊
cantonese_140926_363306-18	爱细个就得㗎喇噉呀大嘅青椒哩就要一只生菜或者呢个车厘茄
cantonese_140926_363306-19	哩噉我地哩爱狸伴住嗰个碟嘅噉可以一齐食嘅噉牛肋骨醃料哩
cantonese_140926_363306-20	哩我地就要生抽一茶匙啦芝麻油半茶匙沙糖半茶匙嘅噉但
cantonese_140926_363306-21	系哩我地要哩煮呢个牛肋骨嘅时间哩亦都哩需要哩就系有一啲嘅
cantonese_140926_363306-22	汁呀汤呀噉嘅噉我地煮好左之后喇噉我地呢个汁料要点样做哩就系
cantonese_140926_363306-23	系牛肉清汤自己煲㗎烚啲牛肋骨嘅时间哩嗰条嘅时间哩你可以
cantonese_140926_363306-25	哩噉啊爱两汤匙沙糖半茶匙黑胡椒碎些少喎噉但系
cantonese_140926_363306-26	我地哩就要埋一个蚬咖吗噉哩就呢个蚬汁哩英缩分一茶匙清水
cantonese_140926_363306-28	果哩嗱你又用黑胡椒啦噉因为哩我谂哩嗰啲牛肉始终都系有少少
cantonese_140926_363306-29	臊味可呀用黑胡椒可以劈左啲臊味可噉另外哩红
cantonese_140926_363306-30	米加白米哩下就等嗰啲遮食落去个口感唔会太硬
cantonese_140927_363424-01	家啲男性嘅小学生都需要接受呢个子宫颈癌嘅疫苗注射喎点解会系
cantonese_140927_363424-04	做哩噉第一样野哩就系希望减少喺个社会入便哩带菌呢个嘅状态噉如果
cantonese_140927_363424-05	以男士方面哩都做左呢一个嘅疫苗注射过哩噉社会嘅带菌嘅人数哩就会减
cantonese_140927_363424-06	少左好多噉但系哩另外一个好处嘅就系呢个病毒哩其实都会引起疣出现嘅
cantonese_140927_363424-07	我地叫做噉哩如果你打到呢支病毒嘅防疫针哩噉有阵时男士嚟讲都有佢个
cantonese_140927_363424-11	虽哩亦都有佢个好处噉总近嚟讲哩都系觉得哩其实打埋个疫苗哩全民注射哩就比较
cantonese_140927_363424-17	哩希望可以防止倒七成至八成以上嘅子宫颈癌噉我地好希望将来哩等呢
cantonese_140927_363424-25	讲哩好多种类啦虽然大部分系人类乳头病毒啦但系有部分系唔关乳头人类乳头病
cantonese_140927_363424-29	如果有遮子宫颈癌呢个肿瘤出现嘅时候哩就要切除嗰个肿瘤甚至连
cantonese_140927_363450-01	达成嘅重行定居协议正被扣留喺鲁鲁机留中心嘅难民可
cantonese_140927_363450-02	能会喺今年底之前喺柬埔寨开始过佢地嘅新生活经过多
cantonese_140927_363450-03	月嚟嘅揣测移民部长莫理信在金边签署呢项协议预料
cantonese_140927_363450-04	料呢项协议喺未来四年将会驶澳洲花费最少四千万
cantonese_140927_363450-05	元人权组织强烈批评呢项协议佢地表示系违反左澳洲嘅
cantonese_140927_363450-06	国际义务喺鲁鲁嘅寻求庇护者可以作出选择呢批寻求庇护
cantonese_140927_363450-07	者当中有超过二百人已经被证实系难民但就冇权
cantonese_140927_363450-08	权喺澳洲定居根据澳洲政府同柬埔寨达成嘅协议佢地系可以
cantonese_140927_363450-09	自愿移居到柬埔寨如果佢地愿意噉做佢地将会获得
cantonese_140927_363450-10	从行定居嘅安排包括语言班同其他政府所称嘅将会
cantonese_140927_363450-11	移民事务女发言人旱森羊格话对难民嚟讲并冇真正嘅选
cantonese_140927_363450-12	择
cantonese_140927_363450-18	而亦唔可以保证政府可以确保十六岁嘅女孩一旦抵达柬埔
cantonese_140927_363450-19	寨后嘅安全而唔会被卖去做卖淫嘅行业移民部长莫理
cantonese_140927_363450-20	信话移居柬埔寨系自愿㗎如果难民拒绝嘅话佢地可以留番
cantonese_140927_363450-21	啊并唔清楚呢笔费用有几多因为可以被挑选去柬埔寨嘅难民
cantonese_140927_363450-22	人数系冇限制㗎不过佢已向电台提及柬埔寨嘅帮助
cantonese_140927_363450-24	亿此外佢强调澳洲政府将会喺未来四年提供多四
cantonese_140927_363450-25	千万元去资助不同嘅海外发展援助项目予以
cantonese_140927_363450-26	援助联盟包括儿童权利人权与难民组织正反对呢项
cantonese_140927_363450-27	括澳洲联合国儿童基金会救助儿童以及世界宣明会等机构
cantonese_140927_363450-28	嘅发言人佢表示将儿童难民及佢地嘅家庭送往一个极
cantonese_140927_363450-29	极度依赖国际捐助其社会与福利需要嘅国家系错误㗎为
cantonese_140927_363450-30	州工党议员系嚟自柬埔寨嘅难民佢认为艾宝德政
cantonese_140928_363564-01	噉哩就反腐哩就呢个呢种力度呀点样呀同埋佢嗰种
cantonese_140928_363564-02	佢嘅成效如何呀噉大家可以从呢个房地产呢方面可以睇到出嚟嘅噉
cantonese_140928_363564-03	一直哩大家口头上都会讲话北上广深遮系话北京上海广
cantonese_140928_363564-04	州深圳呢四个城市作为一种方向标咖吗遮喺国内嚟讲
cantonese_140928_363564-05	引领呢个房地产嘅方向标噉哩就总嚟讲哩就北京个房地产
cantonese_140928_363564-06	系老大嚟嘅噉随住反腐嘅深入呢个力度究竟点样咖吗可以
cantonese_140928_363564-07	喺房地产可以睇到噉北京个房价哩始终系佢系最高位
cantonese_140928_363564-08	佢同其他个城市都佢会抛开左大概有百分之一嘅呢个点数
cantonese_140928_363564-09	噉其他呢三个城市哩就会稍为低少少呢个都系零点五左右嘅呢个
cantonese_140928_363564-10	之间噉北京嘅房哩系最贵嘅而且宜咖呢个房价哩即管话
cantonese_140928_363564-11	话遮呢四个城市已经开始明显有啲跌势但佢呢个跌势哩只系仅仅系至
cantonese_140928_363564-12	一啲遮话比较光需嘅需求普通嘅民宅普通嘅嗰个商
cantonese_140928_363564-13	品房嘅呢个跌价佢始终系睇呢个系好高端㗎房价上便哩
cantonese_140928_363564-14	北京哩始终系最高嘅噉其他三个城市哩都可以体现出嚟哩就系话佢个
cantonese_140928_363564-15	光需嘅房价哩就系微微有啲调喇遮向下调但系哩嗰啲毫宅
cantonese_140928_363564-16	始终哩都系坚守住佢嗰个高价位㗎呢个情况哩就可以睇出嚟哩
cantonese_140928_363564-17	遮系话呢个系唔系一个反腐嘅力度得到噉样嘅效果哩或者系呢个房地
cantonese_140928_363564-18	噉除左定时候嘅一个发展佢已经出现左一种自我调剂嘅一种效果
cantonese_140928_363564-19	噉呢啲大家都系关注嘅我记得我地嘅依个节目喺旧年嘅时候报导过
cantonese_140928_363564-20	呢个中国房地产嘅呢个状况而且我地追踪过好几期嘅但系
cantonese_140928_363564-21	而家我地可以睇到遮话中国而家房地产除左佢嗰个改革深入同埋就佢
cantonese_140928_363564-22	成个嗰个经济嘅发展嘅一个一个波段呀噉而家就可以睇出狸哩就话房地
cantonese_140928_363564-23	产佢系主要系拉动中国嘅一个经济发展嘅一个主要嘅一个主力军但系呢个哩就系
cantonese_140928_363564-24	又系一个方向标嚟㗎噉所以大家而家哩就好关注呢方面关注嘅时候哩就系
cantonese_140928_363564-25	同时哩就系睇下自己柯啲住个荷包囉我而家呢个时候系唔系出手哩还是系要收手
cantonese_140928_363564-27	又同其他城市一样佢系而家就系光需房哩佢就系处喺一种稳守嘅状态
cantonese_140928_363564-28	但系哩佢个高端譬如讲佢个大宅毫宅呀啲遮话小众嘅消费
cantonese_140928_363564-29	仲系比较高嘅呢个价位基本上系冇动因为高端嘅呢个消费佢始终系由呢个
cantonese_140928_363564-30	人群喺道噉呢啲人哩佢之前佢买嘅房佢譬如讲佢唔满
cantonese_141004_365076-01	开对付伊斯兰国极端分子嘅空袭行动联邦政府已批
cantonese_141004_365076-02	准一项总理所承认嘅漫长而又危险嘅任务内阁
cantonese_141004_365076-03	亦已批准部署澳洲特种部队入伊拉克去对伊拉克部队替
cantonese_141004_365076-05	兰国极端组织但伊拉克唔应该单独行事而受澳洲同盟友易
cantonese_141004_365076-06	现伊拉克系唔会孤军作战㗎总理话清楚嘅系为左澳
cantonese_141004_365076-07	澳洲嘅国家利益去帮助破坏同降低佢所称嘅伊斯兰国
cantonese_141004_365076-08	国邪教组织嘅威胁为此艾宝德已承诺派出多达八架超级
cantonese_141004_365076-09	大黄蜂喷射机一架楔尾侦测机同一架加油机去
cantonese_141004_365076-10	去支援喺伊拉克嘅轰炸任务另外亦批准部署二百名
cantonese_141004_365076-11	大部分系突击队员嘅特种部队预料澳洲地面军队将
cantonese_141004_365076-12	不会直接参与战斗行动但将会为参与战斗嘅伊拉
cantonese_141004_365076-13	克部队提供建议艾宝德话伊斯兰国组织已向世界宣战
cantonese_141004_365076-14	战但佢就避免提及澳洲已处於作战状态反而形容呢
cantonese_141004_365076-15	项任务实际系一项人道主义嘅任务佢话呢项任务可能需
cantonese_141004_365076-16	需时几个月而唔系几个星期国防部队首长空
cantonese_141004_365076-17	空军元帅话已经对呢项任务作出全面风险评估有关对
cantonese_141004_365076-18	对澳洲飞机嘅风险包括遭受轻型武器高射炮火同
cantonese_141004_365076-19	同地对空导弹嘅射击而特种部队则面对路边炸弹袭击
cantonese_141004_365076-22	空中支援队伍喺过去两日喺伊拉克上空一直进行支
cantonese_141004_365076-23	援同一啲陪训嘅任务而佢地已经准备随时参与行动
cantonese_141004_365076-24	艾宝德话由美国率领嘅联盟当伊拉克政府恢复控制
cantonese_141004_365076-25	其城市同市镇时就会知道呢项任务系成功㗎反对党领
cantonese_141004_365076-26	袖索顿话政府已获得工党嘅支持去追求呢个目标
cantonese_141004_365076-27	索顿话佢认为一个国家最难决定嘅系以
cantonese_141004_365076-28	危害嘅方式去派遣本国嘅军队但系面对邪恶
cantonese_141004_365076-29	有良知嘅国家系有责任去采取行动㗎伊斯兰国极
cantonese_141004_365076-30	端组织并唔系一个国家或一个信仰或一人嘅敌人
cantonese_141004_365094-01	成点哩其实今年哩就唔系第一年有干旱嘅情况而系已经系连续
cantonese_141004_365094-02	四年㗎喇噉呀连续四年嘅干旱吗当然哩就已经造成个好严重嘅
cantonese_141004_365094-03	影响仲有个深远嘅影响啦噉我地都睇到一啲图片呀噉就系话
cantonese_141004_365094-04	哩加多啲水库啦下四年前哩仲系遮啊一池碧水嘅但
cantonese_141004_365094-05	到今年哩就已经见晒底喇嗰个湖底哩已经干裂晒噉而且哩
cantonese_141004_365094-06	哩就开始哩就系加州州政府哩就谂紧使唔使限制每
cantonese_141004_365094-07	个人用水嘅量哩噉样样噉就而家喺到规划紧哩就配额
cantonese_141004_365094-08	制嘅用水限制政策每个家庭哩就分配用水嘅指标
cantonese_141004_365094-09	限制每日每人呀可以用嘅水嘅份量啦超出过部分哩
cantonese_141004_365094-10	就要罚你钱噉点样去监察哩就的确系一个真系好技
cantonese_141004_365094-11	术性亦且好复杂嘅问题啦下噉加州当局甚至乎哩就谂
cantonese_141004_365094-12	过用卫星啦高空摄像啦呢啲技术去监督遮睇下哇究
cantonese_141004_365094-13	竟个家庭一日限用十公升系唔系今日用左十一公升哩噉噉我地
cantonese_141004_365094-14	亦都有人哩就认为哎噉样搞法喇就系得个讲字嘅遮因为实施之后
cantonese_141004_365094-15	噉个效果哩唔一定噉理想呀嗱或者我地讲下你个构想嘅细节系点先
cantonese_141004_365094-16	嗱就根据哩加州政府同埋各个水区或者供水公司
cantonese_141004_365094-17	构想哩就话以每一个家庭作为单位分配俾每一日呢个家
cantonese_141004_365094-18	家庭用水嘅最高额就包括遮你冲凉啦洗衫啦
cantonese_141004_365094-19	同埋哩就系啊淋花啦种草啦呢啲噉样用水量噉
cantonese_141004_365094-20	按照规划哩每一家每一户嘅用水量哩都会规定得好清楚㗎
cantonese_141004_365094-21	㗎甚至乎下你屋企有冇人而家系食紧药嘅如果水送药咖吗下噉样
cantonese_141004_365094-22	样哩就会列为哩你个家庭用水分配指标嘅其中一
cantonese_141004_365094-23	一个考虑因素噉另外哩就会使用人口普查
cantonese_141004_365094-24	道具卫星高空摄像呢啲技术去监督呀居民用水
cantonese_141004_365094-25	嘅效率遮睇下你有冇嘥水嘅噉十月份哩加州水资源委员会
cantonese_141004_365094-26	哩就会完成初步嘅数据收集了解各个供水区
cantonese_141004_365094-27	每人每日大概用水系几多哩噉然后哩就或者我地攞落
cantonese_141004_365094-28	谂基市呢一个范围嚟做埋一个标准先啦下而家哩就
cantonese_141004_365094-29	话有数据哩就系洛杉矶市居民嘅用水量哩已经从每人每日
cantonese_141004_365094-30	一百加仑哩下降到八十九加仑喇噉收集左数据之后哩
cantonese_141005_365168-01	预算案内容到到如今虽然经过四个多月嘅时间噉但系佢嘅主要
cantonese_141005_365168-02	核心财政措施仍然未能够取得参议院嘅同意噉检至可以讲系
cantonese_141005_365168-03	通过无期噉呀转估财精贺其可以讲系遭受不少嘅压力而最近亦都有报导
cantonese_141005_365168-04	指出财长可能会放弃财政预算案里便嘅所谓核心嘅措施转
cantonese_141005_365168-05	而起草今年十二月公佈嘅年终经济及财务展望报告书而其
cantonese_141005_365168-06	中嘅内容亦都会避重就轻引入其他新嘅削减财政措施嚟
cantonese_141005_365168-07	去帮补库房喇嗱噉故此日前就有报导指出联邦财政部长鹤极会放弃寻求
cantonese_141005_365168-08	参议院嘅合作通过具争议性嘅财务措施而呢件事件亦都引起左喺国会上面
cantonese_141005_365168-09	嘅辩论噉不过财长鹤极就重新走出嚟表示联邦政府尽管喺参议
